Name,Age,Departments,Salary,Experience,Cities,Annual_Salary,Bonus,Total_Compensation,Experience_Level
employee_72,42,Sales,109269,15,Delhi,1311228,10926.900000000001,120195.9,Senior
employee_73,54,QA,39332,13,Delhi,471984,3933.2000000000003,43265.2,Senior
employee_74,21,HR,79895,15,Delhi,958740,7989.5,87884.5,Senior
employee_75,29,Sales,29432,7,Mumbai,353184,2943.2000000000003,32375.2,Mid-level
employee_76,40,Finance,113095,8,Pune,1357140,11309.5,124404.5,Mid-level
employee_77,39,QA,51570,5,Chennai,618840,5157.0,56727.0,Junior
employee_78,56,QA,31103,3,Delhi,373236,3110.3,34213.3,Junior
employee_79,60,HR,40900,10,Chennai,490800,4090.0,44990.0,Mid-level
employee_80,24,QA,83415,1,Hyderabad,1000980,8341.5,91756.5,Fresher
employee_81,29,QA,92567,6,Bangalore,1110804,9256.7,101823.7,Mid-level
employee_82,42,Sales,87713,9,Delhi,1052556,8771.300000000001,96484.3,Mid-level
employee_83,38,HR,108169,10,Chennai,1298028,10816.900000000001,118985.9,Mid-level
employee_84,32,Sales,83639,6,Hyderabad,1003668,8363.9,92002.9,Mid-level
employee_85,59,Sales,113728,9,Mumbai,1364736,11372.800000000001,125100.8,Mid-level
employee_86,29,HR,110476,8,Bangalore,1325712,11047.6,121523.6,Mid-level
employee_87,26,IT,33988,4,Pune,407856,3398.8,37386.8,Junior
employee_88,39,Sales,103488,9,Delhi,1241856,10348.800000000001,113836.8,Mid-level
employee_89,27,Finance,117905,3,Delhi,1414860,11790.5,129695.5,Junior
employee_90,36,Finance,27977,9,Pune,335724,2797.7000000000003,30774.7,Mid-level
employee_91,25,QA,79641,5,Mumbai,955692,7964.1,87605.1,Junior
employee_92,36,Finance,26268,11,Bangalore,315216,2626.8,28894.8,Senior
employee_93,21,QA,79431,1,Delhi,953172,7943.1,87374.1,Fresher
employee_94,57,IT,41756,1,Chennai,501072,4175.6,45931.6,Fresher
employee_95,59,HR,45764,15,Bangalore,549168,4576.400000000001,50340.4,Senior
employee_96,39,HR,84912,11,Hyderabad,1018944,8491.2,93403.2,Senior
employee_97,57,HR,65385,8,Delhi,784620,6538.5,71923.5,Mid-level
employee_98,37,Finance,40032,6,Mumbai,480384,4003.2000000000003,44035.2,Mid-level
employee_99,46,IT,70702,6,Chennai,848424,7070.200000000001,77772.2,Mid-level
employee_100,42,Finance,36885,12,Bangalore,442620,3688.5,40573.5,Senior
employee_101,28,Finance,34796,4,Bangalore,417552,3479.6000000000004,38275.6,Junior
employee_102,53,IT,57863,6,Chennai,694356,5786.3,63649.3,Mid-level
employee_103,22,IT,106014,8,Hyderabad,1272168,10601.400000000001,116615.4,Mid-level
employee_104,50,IT,57117,9,Hyderabad,685404,5711.700000000001,62828.7,Mid-level
employee_105,40,IT,45753,4,Bangalore,549036,4575.3,50328.3,Junior
employee_106,38,HR,45325,8,Pune,543900,4532.5,49857.5,Mid-level
employee_107,30,Data,32021,0,Chennai,384252,3202.1000000000004,35223.1,Fresher
employee_108,44,Data,105721,12,Delhi,1268652,10572.1,116293.1,Senior
employee_109,24,IT,78096,14,Hyderabad,937152,7809.6,85905.6,Senior
employee_110,57,Data,96404,11,Delhi,1156848,9640.4,106044.4,Senior
employee_111,24,Data,38071,2,Hyderabad,456852,3807.1000000000004,41878.1,Fresher
employee_112,33,IT,89649,6,Hyderabad,1075788,8964.9,98613.9,Mid-level
employee_113,45,Data,33041,3,Mumbai,396492,3304.1000000000004,36345.1,Junior
employee_114,33,Finance,107051,14,Delhi,1284612,10705.1,117756.1,Senior
employee_115,38,QA,65058,1,Pune,780696,6505.8,71563.8,Fresher
employee_116,44,QA,73263,11,Hyderabad,879156,7326.3,80589.3,Senior
employee_117,22,IT,116502,13,Pune,1398024,11650.2,128152.2,Senior
employee_118,53,HR,69470,2,Bangalore,833640,6947.0,76417.0,Fresher
employee_119,39,IT,112826,6,Bangalore,1353912,11282.6,124108.6,Mid-level
employee_120,29,HR,53223,7,Mumbai,638676,5322.3,58545.3,Mid-level
employee_121,48,QA,58575,10,Pune,702900,5857.5,64432.5,Mid-level
employee_122,55,IT,70799,8,Chennai,849588,7079.900000000001,77878.9,Mid-level
employee_123,59,Sales,46661,5,Mumbai,559932,4666.1,51327.1,Junior
employee_124,30,Finance,106975,9,Hyderabad,1283700,10697.5,117672.5,Mid-level
employee_125,21,Data,61432,8,Bangalore,737184,6143.200000000001,67575.2,Mid-level
employee_126,41,HR,56147,3,Bangalore,673764,5614.700000000001,61761.7,Junior
employee_127,29,Sales,54114,11,Chennai,649368,5411.400000000001,59525.4,Senior
employee_128,35,Data,31030,4,Mumbai,372360,3103.0,34133.0,Junior
employee_129,55,Data,115051,0,Pune,1380612,11505.1,126556.1,Fresher
employee_130,25,IT,72429,13,Bangalore,869148,7242.900000000001,79671.9,Senior
employee_131,42,Data,72743,8,Hyderabad,872916,7274.3,80017.3,Mid-level
employee_132,43,Finance,90615,8,Chennai,1087380,9061.5,99676.5,Mid-level
employee_133,27,Sales,72577,8,Chennai,870924,7257.700000000001,79834.7,Mid-level
employee_134,43,Data,119584,2,Delhi,1435008,11958.400000000001,131542.4,Fresher
employee_135,45,IT,27966,12,Chennai,335592,2796.6000000000004,30762.6,Senior
employee_136,47,Finance,28728,14,Hyderabad,344736,2872.8,31600.8,Senior
employee_137,26,QA,62304,9,Chennai,747648,6230.400000000001,68534.4,Mid-level
employee_138,54,Sales,74277,9,Pune,891324,7427.700000000001,81704.7,Mid-level
employee_139,29,Data,115330,15,Delhi,1383960,11533.0,126863.0,Senior
employee_140,53,IT,25947,9,Pune,311364,2594.7000000000003,28541.7,Mid-level
employee_141,26,QA,103101,7,Mumbai,1237212,10310.1,113411.1,Mid-level
employee_142,57,QA,106380,2,Mumbai,1276560,10638.0,117018.0,Fresher
employee_143,51,HR,91130,12,Pune,1093560,9113.0,100243.0,Senior
employee_144,54,Finance,46414,5,Hyderabad,556968,4641.400000000001,51055.4,Junior
employee_145,49,Data,107060,4,Delhi,1284720,10706.0,117766.0,Junior
employee_146,34,IT,118005,7,Mumbai,1416060,11800.5,129805.5,Mid-level
employee_147,56,HR,44439,2,Chennai,533268,4443.900000000001,48882.9,Fresher
employee_148,56,Finance,116742,13,Pune,1400904,11674.2,128416.2,Senior
employee_149,35,HR,83220,0,Bangalore,998640,8322.0,91542.0,Fresher
employee_150,28,Sales,71785,11,Hyderabad,861420,7178.5,78963.5,Senior
employee_151,46,Finance,61973,8,Hyderabad,743676,6197.3,68170.3,Mid-level
employee_152,56,Finance,112091,9,Pune,1345092,11209.1,123300.1,Mid-level
employee_153,41,Data,98318,8,Bangalore,1179816,9831.800000000001,108149.8,Mid-level
employee_154,48,Finance,93196,2,Hyderabad,1118352,9319.6,102515.6,Fresher
employee_155,24,HR,31089,1,Delhi,373068,3108.9,34197.9,Fresher
employee_156,36,Finance,95854,3,Mumbai,1150248,9585.4,105439.4,Junior
employee_157,42,Data,87235,13,Delhi,1046820,8723.5,95958.5,Senior
employee_158,32,Data,117141,15,Bangalore,1405692,11714.1,128855.1,Senior
employee_159,36,Sales,54400,7,Delhi,652800,5440.0,59840.0,Mid-level
employee_160,60,HR,40405,5,Chennai,484860,4040.5,44445.5,Junior
employee_161,58,QA,77763,15,Mumbai,933156,7776.3,85539.3,Senior
employee_162,57,QA,55209,9,Bangalore,662508,5520.900000000001,60729.9,Mid-level
employee_163,49,Finance,98598,14,Pune,1183176,9859.800000000001,108457.8,Senior
employee_164,38,Sales,42424,14,Hyderabad,509088,4242.400000000001,46666.4,Senior
employee_165,30,IT,114523,0,Mumbai,1374276,11452.300000000001,125975.3,Fresher
employee_166,59,Finance,45556,14,Pune,546672,4555.6,50111.6,Senior
employee_167,38,Sales,118137,7,Bangalore,1417644,11813.7,129950.7,Mid-level
employee_168,21,HR,44330,4,Chennai,531960,4433.0,48763.0,Junior
employee_169,59,HR,106266,12,Hyderabad,1275192,10626.6,116892.6,Senior
employee_170,41,HR,28236,5,Hyderabad,338832,2823.6000000000004,31059.6,Junior
employee_171,21,HR,94216,4,Mumbai,1130592,9421.6,103637.6,Junior
employee_172,35,HR,55312,9,Pune,663744,5531.200000000001,60843.2,Mid-level
employee_173,24,Sales,46191,4,Bangalore,554292,4619.1,50810.1,Junior
employee_174,40,Sales,108457,2,Bangalore,1301484,10845.7,119302.7,Fresher
employee_175,30,Data,61640,13,Pune,739680,6164.0,67804.0,Senior
employee_176,43,QA,87293,3,Hyderabad,1047516,8729.300000000001,96022.3,Junior
employee_177,54,HR,61688,4,Pune,740256,6168.8,67856.8,Junior
employee_178,53,IT,96229,10,Delhi,1154748,9622.9,105851.9,Mid-level
employee_179,54,Sales,110802,10,Bangalore,1329624,11080.2,121882.2,Mid-level
employee_180,59,IT,117024,1,Pune,1404288,11702.400000000001,128726.4,Fresher
employee_181,30,IT,49122,5,Hyderabad,589464,4912.2,54034.2,Junior
employee_182,40,IT,66224,1,Mumbai,794688,6622.400000000001,72846.4,Fresher
employee_183,21,Data,119540,3,Delhi,1434480,11954.0,131494.0,Junior
employee_184,33,Sales,31331,11,Hyderabad,375972,3133.1000000000004,34464.1,Senior
employee_185,21,IT,112102,15,Chennai,1345224,11210.2,123312.2,Senior
employee_186,25,HR,67262,0,Chennai,807144,6726.200000000001,73988.2,Fresher
employee_187,36,Finance,111314,3,Pune,1335768,11131.400000000001,122445.4,Junior
employee_188,35,IT,84592,13,Hyderabad,1015104,8459.2,93051.2,Senior
employee_189,48,Data,58926,6,Hyderabad,707112,5892.6,64818.6,Mid-level
employee_190,51,Sales,111287,14,Bangalore,1335444,11128.7,122415.7,Senior
employee_191,43,Data,42528,13,Mumbai,510336,4252.8,46780.8,Senior
employee_192,37,IT,25068,15,Delhi,300816,2506.8,27574.8,Senior
employee_193,54,Sales,94253,7,Hyderabad,1131036,9425.300000000001,103678.3,Mid-level
employee_194,33,Finance,105754,1,Delhi,1269048,10575.400000000001,116329.4,Fresher
employee_195,34,IT,68968,2,Pune,827616,6896.8,75864.8,Fresher
employee_196,31,Data,115938,0,Bangalore,1391256,11593.800000000001,127531.8,Fresher
employee_197,48,QA,73623,14,Delhi,883476,7362.3,80985.3,Senior
employee_198,52,HR,67129,15,Delhi,805548,6712.900000000001,73841.9,Senior
employee_199,55,Data,119688,6,Delhi,1436256,11968.800000000001,131656.8,Mid-level
employee_200,51,Sales,86321,3,Delhi,1035852,8632.1,94953.1,Junior
employee_201,37,IT,36526,10,Delhi,438312,3652.6000000000004,40178.6,Mid-level
employee_202,29,HR,117452,9,Bangalore,1409424,11745.2,129197.2,Mid-level
employee_203,30,IT,116564,7,Pune,1398768,11656.400000000001,128220.4,Mid-level
employee_204,28,Sales,51709,4,Delhi,620508,5170.900000000001,56879.9,Junior
employee_205,41,IT,40063,8,Delhi,480756,4006.3,44069.3,Mid-level
employee_206,33,QA,29723,5,Pune,356676,2972.3,32695.3,Junior
employee_207,25,HR,29213,10,Hyderabad,350556,2921.3,32134.3,Mid-level
employee_208,26,HR,47797,9,Hyderabad,573564,4779.7,52576.7,Mid-level
employee_209,50,Sales,109946,1,Bangalore,1319352,10994.6,120940.6,Fresher
employee_210,51,QA,113918,0,Bangalore,1367016,11391.800000000001,125309.8,Fresher
employee_211,37,Data,70217,0,Mumbai,842604,7021.700000000001,77238.7,Fresher
employee_212,31,IT,93283,15,Bangalore,1119396,9328.300000000001,102611.3,Senior
employee_213,40,Finance,48655,11,Pune,583860,4865.5,53520.5,Senior
employee_214,29,IT,102990,11,Delhi,1235880,10299.0,113289.0,Senior
employee_215,22,IT,37587,13,Pune,451044,3758.7000000000003,41345.7,Senior
employee_216,57,Data,47555,13,Mumbai,570660,4755.5,52310.5,Senior
employee_217,21,IT,53071,15,Chennai,636852,5307.1,58378.1,Senior
employee_218,24,QA,45239,8,Chennai,542868,4523.900000000001,49762.9,Mid-level
employee_219,56,QA,74151,0,Pune,889812,7415.1,81566.1,Fresher
employee_220,45,HR,27203,2,Chennai,326436,2720.3,29923.3,Fresher
employee_221,23,Sales,38635,11,Chennai,463620,3863.5,42498.5,Senior
employee_222,29,Finance,77571,1,Mumbai,930852,7757.1,85328.1,Fresher
employee_223,42,IT,26144,14,Delhi,313728,2614.4,28758.4,Senior
employee_224,43,IT,57699,14,Bangalore,692388,5769.900000000001,63468.9,Senior
employee_225,32,Data,109619,14,Bangalore,1315428,10961.900000000001,120580.9,Senior
employee_226,30,Sales,116663,15,Chennai,1399956,11666.300000000001,128329.3,Senior
employee_227,54,QA,37213,11,Hyderabad,446556,3721.3,40934.3,Senior
employee_228,30,Finance,41944,3,Mumbai,503328,4194.400000000001,46138.4,Junior
employee_229,50,HR,91723,0,Delhi,1100676,9172.300000000001,100895.3,Fresher
employee_230,42,QA,93669,14,Delhi,1124028,9366.9,103035.9,Senior
employee_231,26,Sales,93947,0,Chennai,1127364,9394.7,103341.7,Fresher
employee_232,22,HR,59457,3,Hyderabad,713484,5945.700000000001,65402.7,Junior
employee_233,50,Data,60191,12,Hyderabad,722292,6019.1,66210.1,Senior
employee_234,22,Data,97264,12,Delhi,1167168,9726.4,106990.4,Senior
employee_235,52,IT,82924,13,Mumbai,995088,8292.4,91216.4,Senior
employee_236,36,Sales,58744,3,Bangalore,704928,5874.400000000001,64618.4,Junior
employee_237,32,Finance,78424,6,Delhi,941088,7842.400000000001,86266.4,Mid-level
employee_238,21,HR,113417,7,Delhi,1361004,11341.7,124758.7,Mid-level
employee_239,28,QA,103337,12,Pune,1240044,10333.7,113670.7,Senior
employee_240,33,Sales,101084,7,Hyderabad,1213008,10108.400000000001,111192.4,Mid-level
employee_241,35,Sales,57886,7,Pune,694632,5788.6,63674.6,Mid-level
employee_242,28,Data,109963,13,Pune,1319556,10996.300000000001,120959.3,Senior
employee_243,30,IT,25972,13,Mumbai,311664,2597.2000000000003,28569.2,Senior
employee_244,25,IT,31621,11,Delhi,379452,3162.1000000000004,34783.1,Senior
employee_245,39,HR,116549,13,Bangalore,1398588,11654.900000000001,128203.9,Senior
employee_246,58,Data,74738,8,Mumbai,896856,7473.8,82211.8,Mid-level
employee_247,31,Sales,82694,0,Hyderabad,992328,8269.4,90963.4,Fresher
employee_248,40,Finance,79777,8,Bangalore,957324,7977.700000000001,87754.7,Mid-level
employee_249,40,Data,39530,9,Delhi,474360,3953.0,43483.0,Mid-level
employee_250,41,HR,32354,7,Chennai,388248,3235.4,35589.4,Mid-level
employee_251,38,HR,71529,0,Bangalore,858348,7152.900000000001,78681.9,Fresher
employee_252,30,Data,76714,6,Mumbai,920568,7671.400000000001,84385.4,Mid-level
employee_253,54,HR,113759,8,Mumbai,1365108,11375.900000000001,125134.9,Mid-level
employee_254,46,Data,66232,3,Pune,794784,6623.200000000001,72855.2,Junior
employee_255,50,QA,77079,12,Delhi,924948,7707.900000000001,84786.9,Senior
employee_256,29,Data,37550,14,Chennai,450600,3755.0,41305.0,Senior
employee_257,51,Data,113196,12,Delhi,1358352,11319.6,124515.6,Senior
employee_258,24,HR,85385,8,Bangalore,1024620,8538.5,93923.5,Mid-level
employee_259,26,HR,89736,15,Chennai,1076832,8973.6,98709.6,Senior
employee_260,34,IT,55268,0,Delhi,663216,5526.8,60794.8,Fresher
employee_261,24,IT,116876,8,Pune,1402512,11687.6,128563.6,Mid-level
employee_262,46,QA,29290,5,Chennai,351480,2929.0,32219.0,Junior
employee_263,59,IT,80034,3,Chennai,960408,8003.400000000001,88037.4,Junior
employee_264,37,Data,55138,11,Bangalore,661656,5513.8,60651.8,Senior
employee_265,39,HR,96982,15,Chennai,1163784,9698.2,106680.2,Senior
employee_266,26,IT,38432,11,Pune,461184,3843.2000000000003,42275.2,Senior
employee_267,49,IT,92058,4,Hyderabad,1104696,9205.800000000001,101263.8,Junior
employee_268,31,QA,83175,14,Hyderabad,998100,8317.5,91492.5,Senior
employee_269,36,Sales,58329,6,Mumbai,699948,5832.900000000001,64161.9,Mid-level
employee_270,50,QA,94076,9,Hyderabad,1128912,9407.6,103483.6,Mid-level
employee_271,45,Data,37328,12,Bangalore,447936,3732.8,41060.8,Senior
employee_272,60,HR,59247,3,Mumbai,710964,5924.700000000001,65171.7,Junior
employee_273,31,QA,31677,7,Hyderabad,380124,3167.7000000000003,34844.7,Mid-level
employee_274,27,IT,86810,2,Hyderabad,1041720,8681.0,95491.0,Fresher
employee_275,46,HR,75357,1,Mumbai,904284,7535.700000000001,82892.7,Fresher
employee_276,42,HR,80812,0,Bangalore,969744,8081.200000000001,88893.2,Fresher
employee_277,45,IT,66616,13,Mumbai,799392,6661.6,73277.6,Senior
employee_278,39,QA,86284,12,Bangalore,1035408,8628.4,94912.4,Senior
employee_279,51,IT,74741,5,Bangalore,896892,7474.1,82215.1,Junior
employee_280,46,Sales,78478,1,Delhi,941736,7847.8,86325.8,Fresher
employee_281,56,HR,79056,7,Pune,948672,7905.6,86961.6,Mid-level
employee_282,43,Finance,116483,14,Hyderabad,1397796,11648.300000000001,128131.3,Senior
employee_283,33,Finance,70534,15,Delhi,846408,7053.400000000001,77587.4,Senior
employee_284,45,Data,104056,10,Hyderabad,1248672,10405.6,114461.6,Mid-level
employee_285,22,IT,89162,9,Delhi,1069944,8916.2,98078.2,Mid-level
employee_286,22,IT,69711,12,Chennai,836532,6971.1,76682.1,Senior
employee_287,36,Data,47805,3,Mumbai,573660,4780.5,52585.5,Junior
employee_288,29,Data,45143,8,Delhi,541716,4514.3,49657.3,Mid-level
employee_289,48,Data,100828,3,Pune,1209936,10082.800000000001,110910.8,Junior
employee_290,33,HR,87473,3,Hyderabad,1049676,8747.300000000001,96220.3,Junior
employee_291,55,Sales,41017,15,Chennai,492204,4101.7,45118.7,Senior
employee_292,33,IT,88202,12,Pune,1058424,8820.2,97022.2,Senior
employee_293,51,HR,115859,11,Bangalore,1390308,11585.900000000001,127444.9,Senior
employee_294,41,Data,66423,7,Hyderabad,797076,6642.3,73065.3,Mid-level
employee_295,52,IT,66713,11,Delhi,800556,6671.3,73384.3,Senior
employee_296,54,HR,112856,12,Mumbai,1354272,11285.6,124141.6,Senior
employee_297,28,Sales,99310,7,Pune,1191720,9931.0,109241.0,Mid-level
employee_298,22,HR,27205,4,Chennai,326460,2720.5,29925.5,Junior
employee_299,58,Sales,78266,2,Mumbai,939192,7826.6,86092.6,Fresher
employee_300,52,Data,37342,11,Bangalore,448104,3734.2000000000003,41076.2,Senior
employee_301,60,Sales,94563,1,Mumbai,1134756,9456.300000000001,104019.3,Fresher
employee_302,48,IT,88190,14,Chennai,1058280,8819.0,97009.0,Senior
employee_303,57,Data,106863,8,Bangalore,1282356,10686.300000000001,117549.3,Mid-level
employee_304,21,IT,46200,13,Chennai,554400,4620.0,50820.0,Senior
employee_305,30,Finance,32188,8,Hyderabad,386256,3218.8,35406.8,Mid-level
employee_306,24,QA,27808,4,Chennai,333696,2780.8,30588.8,Junior
employee_307,55,Sales,38851,15,Mumbai,466212,3885.1000000000004,42736.1,Senior
employee_308,30,QA,105890,13,Hyderabad,1270680,10589.0,116479.0,Senior
employee_309,31,QA,89928,12,Hyderabad,1079136,8992.800000000001,98920.8,Senior
employee_310,34,Sales,40058,14,Pune,480696,4005.8,44063.8,Senior
employee_311,58,Data,39620,7,Mumbai,475440,3962.0,43582.0,Mid-level
employee_312,32,Finance,77755,6,Mumbai,933060,7775.5,85530.5,Mid-level
employee_313,37,IT,87995,2,Bangalore,1055940,8799.5,96794.5,Fresher
employee_314,36,HR,61681,11,Chennai,740172,6168.1,67849.1,Senior
employee_315,55,IT,89509,4,Delhi,1074108,8950.9,98459.9,Junior
employee_316,22,HR,108339,14,Chennai,1300068,10833.900000000001,119172.9,Senior
employee_317,31,IT,92703,12,Mumbai,1112436,9270.300000000001,101973.3,Senior
employee_318,23,Sales,92680,8,Chennai,1112160,9268.0,101948.0,Mid-level
employee_319,49,Finance,92703,3,Mumbai,1112436,9270.300000000001,101973.3,Junior
employee_320,38,HR,67136,2,Hyderabad,805632,6713.6,73849.6,Fresher
employee_321,40,Data,116380,6,Chennai,1396560,11638.0,128018.0,Mid-level
employee_322,34,IT,118699,7,Chennai,1424388,11869.900000000001,130568.9,Mid-level
employee_323,54,IT,113456,4,Mumbai,1361472,11345.6,124801.6,Junior
employee_324,51,HR,108086,12,Mumbai,1297032,10808.6,118894.6,Senior
employee_325,60,Data,61343,7,Bangalore,736116,6134.3,67477.3,Mid-level
employee_326,38,Data,43254,4,Chennai,519048,4325.400000000001,47579.4,Junior
employee_327,50,Sales,86273,8,Pune,1035276,8627.300000000001,94900.3,Mid-level
employee_328,45,Sales,84611,6,Mumbai,1015332,8461.1,93072.1,Mid-level
employee_329,39,Sales,85002,4,Pune,1020024,8500.2,93502.2,Junior
employee_330,28,Sales,110683,12,Hyderabad,1328196,11068.300000000001,121751.3,Senior
employee_331,48,Sales,37926,8,Hyderabad,455112,3792.6000000000004,41718.6,Mid-level
employee_332,28,Sales,89264,4,Pune,1071168,8926.4,98190.4,Junior
employee_333,51,Finance,114527,7,Delhi,1374324,11452.7,125979.7,Mid-level
employee_334,23,Data,52563,11,Hyderabad,630756,5256.3,57819.3,Senior
employee_335,23,Sales,55688,3,Pune,668256,5568.8,61256.8,Junior
employee_336,42,Data,119559,8,Bangalore,1434708,11955.900000000001,131514.9,Mid-level
employee_337,37,Data,59130,11,Bangalore,709560,5913.0,65043.0,Senior
employee_338,56,QA,25925,5,Hyderabad,311100,2592.5,28517.5,Junior
employee_339,37,Finance,76595,5,Pune,919140,7659.5,84254.5,Junior
employee_340,34,Sales,41321,13,Pune,495852,4132.1,45453.1,Senior
employee_341,29,IT,35769,2,Pune,429228,3576.9,39345.9,Fresher
employee_342,50,HR,61748,12,Delhi,740976,6174.8,67922.8,Senior
employee_343,41,IT,65028,2,Hyderabad,780336,6502.8,71530.8,Fresher
employee_344,32,Finance,41151,3,Delhi,493812,4115.1,45266.1,Junior
employee_345,57,HR,101133,0,Pune,1213596,10113.300000000001,111246.3,Fresher
employee_346,52,Finance,59187,5,Mumbai,710244,5918.700000000001,65105.7,Junior
